TEMP	21.2	24	30	33.1	36.9	37.9	45	46.5	50.4	54	54	57.2	62.8	66.4	67	77.4	85.9	88.8
1-cysPrx_C	119	123	57	71	67	69	86	58	51	83	135	117	48	14	211	0	22	226
2_5_RNA_ligase	84	76	137	87	86	83	127	107	121	89	171	56	115	160	227	264	445	348
2-Hacid_dh	376	381	412	417	423	402	339	462	533	446	548	263	319	449	859	411	604	872
2-Hacid_dh_C	963	1105	1043	1273	1227	1113	920	1387	1509	1184	1287	809	1052	1162	1911	977	1640	2170
2-oxoacid_dh	821	994	637	882	1048	724	714	1243	1026	1102	666	461	1105	1044	409	647	586	221
2-ph_phosp	112	86	117	110	127	113	118	106	91	135	109	240	129	66	18	102	53	64
2CSK_N	7	7	0	12	17	1	29	4	33	4	5	0	1	1	0	0	3	0
2HCT	10	7	0	2	0	12	0	0	0	0	1	0	2	0	0	0	2	0
2OG-FeII_Oxy	11	22	5	25	40	22	7	21	7	27	9	71	28	3	0	0	14	0
3-alpha	1	8	0	2	1	4	0	3	1	0	3	0	0	0	0	0	2	0
3-dmu-9_3-mt	256	296	159	198	179	242	83	197	253	111	149	46	81	52	7	2	2	1
3-HAO	15	39	6	35	70	46	13	55	60	23	31	24	120	6	0	0	1	0
3Beta_HSD	149	130	173	125	176	129	136	198	106	136	111	149	133	83	55	47	40	123
3D	29	54	50	57	61	47	56	72	32	58	28	41	31	41	15	25	13	8
3H	3	4	0	2	2	6	6	5	1	4	4	1	0	15	5	26	18	0
3HBOH	2	19	11	10	23	14	19	1	36	0	19	4	0	0	0	0	0	0
3HCDH	218	292	393	322	401	344	290	348	364	286	297	86	385	365	521	374	678	113
3HCDH_N	536	591	857	689	710	651	558	640	742	580	633	255	688	852	745	745	816	157
4HB_MCP_2	37	19	5	31	32	127	71	24	33	33	22	8	35	23	3	0	27	0
4HBT	217	251	212	214	243	288	255	323	264	274	223	183	324	280	43	416	366	96
5_3_exonuc	188	177	181	198	155	200	184	193	186	201	191	143	191	246	149	193	88	76
5_3_exonuc_N	308	400	227	326	350	411	302	355	333	284	290	230	326	421	206	385	150	122
5_nucleotid	32	27	20	22	25	40	2	1	12	2	0	13	4	0	0	0	0	0
5_nucleotid_C	167	125	108	90	118	148	142	138	101	129	136	57	135	152	108	173	58	6
5-FTHF_cyc-lig	66	100	66	77	135	78	86	81	55	100	130	112	114	76	184	290	249	325
5-nucleotidase	23	26	4	6	32	16	44	13	23	0	3	13	6	6	0	0	9	0
5TM-5TMR_LYT	21	16	1	8	7	26	31	15	15	13	13	4	20	2	0	0	3	0
60KD_IMP	493	536	393	398	458	407	452	438	447	475	456	309	455	448	263	502	237	143
6PF2K	4	4	2	4	3	1	4	0	2	0	3	3	2	0	0	0	0	0
6PGD	244	282	191	193	176	200	200	178	196	229	345	228	234	108	403	220	220	63
7TM-7TMR_HD	75	29	117	40	32	47	60	28	36	46	51	70	56	77	16	68	1	0
7TMR-DISM_7TM	33	28	40	15	52	51	73	45	12	11	13	18	26	3	0	0	49	0
7TMR-DISMED2	14	29	27	12	44	32	56	20	9	6	4	14	24	7	0	0	49	0
7TMR-HDED	33	39	75	54	36	22	89	65	44	63	58	112	77	34	29	33	34	17
A_deamin	5	1	1	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0
A_deaminase	242	220	151	163	145	175	142	147	155	194	156	259	147	111	102	82	68	0
A2M	54	35	48	56	33	38	45	37	26	48	22	15	57	20	5	39	11	11
A2M_comp	5	4	19	11	9	7	4	3	19	1	6	2	5	5	4	6	8	5
A2M_N	82	55	79	56	55	59	49	70	53	74	46	18	82	30	12	38	20	38
A2M_N_2	61	33	53	42	47	33	51	85	39	79	48	23	66	12	5	44	14	15
A2M_recep	1	1	14	0	0	2	5	4	7	0	1	0	2	2	1	7	3	12
AA_kinase	570	531	581	596	712	687	784	639	684	696	959	482	658	628	1422	1001	1138	1315
AA_permease	241	258	228	260	270	424	200	230	289	209	307	239	294	369	537	278	96	82
AAA	939	816	889	962	838	1268	1136	795	1031	868	1351	1306	982	807	2359	1294	2607	3183
AAA_10	336	294	151	142	92	241	148	99	157	102	165	195	79	67	234	183	527	768
AAA_2	962	1079	872	1172	1234	1095	1312	1411	1239	1306	1078	782	1425	1630	495	1501	656	626
AAA_3	635	662	521	765	885	727	592	824	613	931	637	440	720	724	607	609	602	1571
AAA_4	156	95	87	51	75	59	87	107	62	85	59	25	125	94	12	127	12	3
AAA_5	123	80	64	63	57	75	68	69	69	74	87	71	57	137	98	165	416	358
AAA_6	3	6	0	4	3	19	1	0	10	2	1	7	1	0	0	0	0	0
AAA_PrkA	111	169	53	207	277	176	214	233	166	234	142	71	208	602	45	260	190	2
AAA-ATPase_like	62	55	28	27	23	41	34	6	16	18	23	19	14	35	2	36	0	159
AAL_decarboxy	25	32	15	21	2	29	10	1	2	1	5	4	0	0	8	0	1	0
AAT	34	20	54	12	21	14	17	21	16	40	15	15	21	3	27	6	6	0
ABC_cobalt	4	12	7	3	1	3	9	3	3	8	9	0	6	4	46	14	75	166
ABC_membrane	1035	752	901	832	877	993	1005	963	874	974	872	1551	1162	554	362	550	227	341
ABC_membrane_2	66	73	31	65	43	87	53	31	127	67	57	17	42	5	0	0	5	0
ABC_sub_bind	153	287	124	199	46	316	16	18	97	28	181	13	25	42	209	248	104	6
ABC_tran	6088	5323	6184	5630	5497	6356	5991	6017	5564	6266	6286	7027	5284	4436	6753	5081	6346	7672
ABC_tran_2	256	249	134	212	190	245	202	181	203	173	97	180	123	28	4	1	26	1
ABC_transp	5	2	7	11	36	7	111	78	17	121	119	9	86	65	109	66	186	58
ABC_transp_aux	212	147	198	126	252	141	195	225	176	188	148	152	256	51	17	72	64	13
ABC-3	420	367	399	408	476	439	481	458	363	543	536	529	474	534	435	433	315	321
ABC1	198	170	145	214	247	192	213	181	196	210	130	397	191	216	21	240	118	0
ABC2_membrane	485	450	567	400	353	549	498	334	423	357	568	517	382	261	709	303	307	776
ABC2_membrane_2	219	202	281	197	209	190	207	220	210	268	322	74	277	424	365	203	83	169
ABC2_membrane_3	230	171	247	112	156	165	215	186	149	150	161	77	196	96	119	107	105	45
ABC2_membrane_4	61	32	45	40	56	70	44	37	31	37	26	14	31	13	8	23	25	28
AbfB	5	0	7	22	0	5	0	0	3	6	0	7	0	3	0	0	0	0
ABG_transport	241	181	87	120	317	119	112	344	46	275	110	74	211	104	6	0	48	0
Abhydrolase_1	198	208	98	174	159	192	126	151	223	147	112	222	89	69	29	68	76	48
Abhydrolase_2	53	66	27	73	79	67	60	73	84	75	54	151	51	15	4	16	37	0
